Cliente_ID,Genero,Adulto_Mayor,Pareja,Cargas,Meses_Permanencia,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivos,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Fuga,Cargo_Mensual,Cargo_Total,Comuna
7590-VHVEG,Femenino,0,Si,No,1,No,Sin linea,ADSL/Cobre,No,Si,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,14925.0,14925.0,Chiguayante
5575-GNVDE,Masculino,0,No,No,34,Si,No,ADSL/Cobre,Si,No,Si,No,No,No,Plan 12 Meses,No,Caja Vecina/Servipag,No,28475.0,944750.0,Hualpen
3668-QPYBK,Masculino,0,No,No,2,Si,No,ADSL/Cobre,Si,Si,No,No,No,No,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,Si,26925.0,54075.0,Hualpen
7795-CFOCW,Masculino,0,No,No,45,No,Sin linea,ADSL/Cobre,Si,No,Si,Si,No,No,Plan 12 Meses,No,PAC (Cta Cte),No,21150.0,920375.0,Talcahuano
9237-HQITU,Femenino,0,No,No,2,Si,No,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,35350.0,75825.0,Concepcion
9305-CDSKC,Femenino,0,No,No,8,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,49825.0,410250.0,Concepcion
1452-KIOVK,Masculino,0,No,Si,22,Si,Si,Fibra Optica,No,Si,No,No,Si,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,44550.0,974700.0,Concepcion
6713-OKOMC,Femenino,0,No,No,10,No,Sin linea,ADSL/Cobre,Si,No,No,No,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,14875.0,150950.0,Hualpen
7892-POOKP,Femenino,0,Si,No,28,Si,Si,Fibra Optica,No,No,Si,Si,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,52400.0,1523025.0,San Pedro de la Paz
6388-TABGU,Masculino,0,No,Si,62,Si,No,ADSL/Cobre,Si,Si,No,No,No,No,Plan 12 Meses,No,PAC (Cta Cte),No,28075.0,1743975.0,Hualpen
9763-GRSKD,Masculino,0,Si,Si,13,Si,No,ADSL/Cobre,Si,No,No,No,No,No,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,24975.0,293725.0,Concepcion
7469-LKBCI,Masculino,0,No,No,16,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAT (Tarjeta Credito),No,9475.0,163400.0,San Pedro de la Paz
8091-TTVAX,Masculino,0,Si,No,58,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Plan 12 Meses,No,PAT (Tarjeta Credito),No,50175.0,2840550.0,Chiguayante
0280-XJGEX,Masculino,0,No,No,49,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Sin Contrato/Prepago,Si,PAC (Cta Cte),Si,51850.0,2518150.0,Talcahuano
5129-JLPIS,Masculino,0,No,No,25,Si,No,Fibra Optica,Si,No,Si,Si,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,52750.0,1343025.0,Concepcion
